time    pid   status    niceness    cputime    proctime      Group List
  2      4      1          0          0.00       2.50        Ready List
  2      5      1          0          0.00       1.50        Ready List
  2      1      2          0          1.00       3.00        Running List
  3      2      1          0          0.00       4.00        Ready List
  3      3      1          0          0.00       3.00        Ready List
  3      4      1          0          0.00       2.50        Ready List
  3      5      1          0          0.00       1.50        Ready List
  3      1      2          0          2.00       3.00        Running List
  4      2      1          0          0.00       4.00        Ready List
  4      3      1          0          0.00       3.00        Ready List
  4      4      1          0          0.00       2.50        Ready List
  4      5      1          0          0.00       1.50        Ready List
  4      1      3          0          3.00       3.00        Running List
  5      3      1          0          0.00       3.00        Ready List
  5      4      1          0          0.00       2.50        Ready List
  5      5      1          0          0.00       1.50        Ready List
  5      2      2          0          1.00       4.00        Running List
  6      3      1          0          0.00       3.00        Ready List
  6      4      1          0          0.00       2.50        Ready List
  6      5      1          0          0.00       1.50        Ready List
  6      2      2          0          2.00       4.00        Running List
  7      3      1          0          0.00       3.00        Ready List
  7      4      1          0          0.00       2.50        Ready List
  7      5      1          0          0.00       1.50        Ready List
  7      2      2          0          3.00       4.00        Running List
  8      3      1          0          0.00       3.00        Ready List
  8      4      1          0          0.00       2.50        Ready List
  8      5      1          0          0.00       1.50        Ready List
  8      2      3          0          4.00       4.00        Running List
  9      4      1          0          0.00       2.50        Ready List
  9      5      1          0          0.00       1.50        Ready List
  9      3      2          0          1.00       3.00        Running List
  10      4      1          0          0.00       2.50        Ready List
  10      5      1          0          0.00       1.50        Ready List
  10      3      2          0          2.00       3.00        Running List
  11      4      1          0          0.00       2.50        Ready List
  11      5      1          0          0.00       1.50        Ready List
  11      3      3          0          3.00       3.00        Running List
  12      5      1          0          0.00       1.50        Ready List
  12      4      2          0          1.00       2.50        Running List
  13      5      1          0          0.00       1.50        Ready List
  13      4      2          0          2.00       2.50        Running List
  14      5      1          0          0.00       1.50        Ready List
  14      4      3          0          3.00       2.50        Running List
  15      5      2          0          1.00       1.50        Running List
  16      5      3          0          2.00       1.50        Running List
  0      0      1          0          0.00       2.00        Ready List
  0      4      1          0          0.00       2.50        Ready List
  0      1      1          0          0.00       3.00        Ready List
  0      3      1          0          0.00       3.00        Ready List
  0      2      1          0          0.00       4.00        Ready List
  0      5      2          0          1.00       1.50        Running List
  1      0      1          0          0.00       2.00        Ready List
  1      4      1          0          0.00       2.50        Ready List
  1      1      1          0          0.00       3.00        Ready List
  1      3      1          0          0.00       3.00        Ready List
  1      2      1          0          0.00       4.00        Ready List
  1      5      3          0          2.00       1.50        Running List
  2      4      1          0          0.00       2.50        Ready List
  2      1      1          0          0.00       3.00        Ready List
  2      3      1          0          0.00       3.00        Ready List
  2      2      1          0          0.00       4.00        Ready List
  2      0      2          0          1.00       2.00        Running List
  3      4      1          0          0.00       2.50        Ready List
  3      1      1          0          0.00       3.00        Ready List
  3      3      1          0          0.00       3.00        Ready List
  3      2      1          0          0.00       4.00        Ready List
  3      0      3          0          2.00       2.00        Running List
  4      1      1          0          0.00       3.00        Ready List
  4      3      1          0          0.00       3.00        Ready List
  4      2      1          0          0.00       4.00        Ready List
  4      4      2          0          1.00       2.50        Running List
  5      1      1          0          0.00       3.00        Ready List
  5      3      1          0          0.00       3.00        Ready List
  5      2      1          0          0.00       4.00        Ready List
  5      4      2          0          2.00       2.50        Running List
  6      1      1          0          0.00       3.00        Ready List
  6      3      1          0          0.00       3.00        Ready List
  6      2      1          0          0.00       4.00        Ready List
  6      4      3          0          3.00       2.50        Running List
  7      3      1          0          0.00       3.00        Ready List
  7      2      1          0          0.00       4.00        Ready List
  7      1      2          0          1.00       3.00        Running List
  8      3      1          0          0.00       3.00        Ready List
  8      2      1          0          0.00       4.00        Ready List
  8      1      2          0          2.00       3.00        Running List
  9      3      1          0          0.00       3.00        Ready List
  9      2      1          0          0.00       4.00        Ready List
  9      1      3          0          3.00       3.00        Running List
  10      2      1          0          0.00       4.00        Ready List
  10      3      2          0          1.00       3.00        Running List
  11      2      1          0          0.00       4.00        Ready List
  11      3      2          0          2.00       3.00        Running List
  12      2      1          0          0.00       4.00        Ready List
  12      3      3          0          3.00       3.00        Running List
  13      2      2          0          1.00       4.00        Running List
  14      2      2          0          2.00       4.00        Running List
  15      2      2          0          3.00       4.00        Running List
  16      2      3          0          4.00       4.00        Running List
  0      0      1          0          0.00       2.00        Ready List
  0      4      1          0          0.00       2.50        Ready List
  0      1      1          0          0.00       3.00        Ready List
  0      3      1          0          0.00       3.00        Ready List
  0      2      1          0          0.00       4.00        Ready List
  0      5      2          0          1.00       1.50        Running List
  1      0      1          0          0.00       2.00        Ready List
  1      4      1          0          0.00       2.50        Ready List
  1      1      1          0          0.00       3.00        Ready List
  1      3      1          0          0.00       3.00        Ready List
  1      2      1          0          0.00       4.00        Ready List
  1      5      3          0          2.00       1.50        Running List
  0      0      1          0          0.00       2.00        Ready List
  0      4      1          0          0.00       2.50        Ready List
  0      1      1          0          0.00       3.00        Ready List
  0      3      1          0          0.00       3.00        Ready List
  0      2      1          0          0.00       4.00        Ready List
  0      5      2          0          1.00       1.50        Running List
  1      0      1          0          0.00       2.00        Ready List
  1      4      1          0          0.00       2.50        Ready List
  1      1      1          0          0.00       3.00        Ready List
  1      3      1          0          0.00       3.00        Ready List
  1      2      1          0          0.00       4.00        Ready List
  1      5      3          0          2.00       1.50        Running List
  2      4      1          0          0.00       2.50        Ready List
  2      1      1          0          0.00       3.00        Ready List
  2      3      1          0          0.00       3.00        Ready List
  2      2      1          0          0.00       4.00        Ready List
  2      0      2          0          1.00       2.00        Running List
  3      4      1          0          0.00       2.50        Ready List
  3      1      1          0          0.00       3.00        Ready List
  3      3      1          0          0.00       3.00        Ready List
  3      2      1          0          0.00       4.00        Ready List
  3      0      3          0          2.00       2.00        Running List
  4      1      1          0          0.00       3.00        Ready List
  4      3      1          0          0.00       3.00        Ready List
  4      2      1          0          0.00       4.00        Ready List
  4      4      2          0          1.00       2.50        Running List
  5      1      1          0          0.00       3.00        Ready List
  5      3      1          0          0.00       3.00        Ready List
  5      2      1          0          0.00       4.00        Ready List
  5      4      2          0          2.00       2.50        Running List
  6      1      1          0          0.00       3.00        Ready List
  6      3      1          0          0.00       3.00        Ready List
  6      2      1          0          0.00       4.00        Ready List
  6      4      3          0          3.00       2.50        Running List
  7      3      1          0          0.00       3.00        Ready List
  7      2      1          0          0.00       4.00        Ready List
  7      1      2          0          1.00       3.00        Running List
  8      3      1          0          0.00       3.00        Ready List
  8      2      1          0          0.00       4.00        Ready List
  8      1      2          0          2.00       3.00        Running List
  9      3      1          0          0.00       3.00        Ready List
  9      2      1          0          0.00       4.00        Ready List
  9      1      3          0          3.00       3.00        Running List
  10      2      1          0          0.00       4.00        Ready List
  10      3      2          0          1.00       3.00        Running List
  11      2      1          0          0.00       4.00        Ready List
  11      3      2          0          2.00       3.00        Running List
  12      2      1          0          0.00       4.00        Ready List
  12      3      3          0          3.00       3.00        Running List
  13      2      2          0          1.00       4.00        Running List
  14      2      2          0          2.00       4.00        Running List
  15      2      2          0          3.00       4.00        Running List
  16      2      3          0          4.00       4.00        Running List
  0      0      1          0          0.00       2.00        Ready List
  0      4      1          0          0.00       2.50        Ready List
  0      1      1          0          0.00       3.00        Ready List
  0      3      1          0          0.00       3.00        Ready List
  0      2      1          0          0.00       4.00        Ready List
  0      5      2          0          1.00       1.50        Running List
  1      0      1          0          0.00       2.00        Ready List
  1      4      1          0          0.00       2.50        Ready List
  1      1      1          0          0.00       3.00        Ready List
  1      3      1          0          0.00       3.00        Ready List
  1      2      1          0          0.00       4.00        Ready List
  1      5      3          0          2.00       1.50        Running List
  2      4      1          0          0.00       2.50        Ready List
  2      1      1          0          0.00       3.00        Ready List
  2      3      1          0          0.00       3.00        Ready List
  2      2      1          0          0.00       4.00        Ready List
  2      0      2          0          1.00       2.00        Running List
  3      4      1          0          0.00       2.50        Ready List
  3      1      1          0          0.00       3.00        Ready List
  3      3      1          0          0.00       3.00        Ready List
  3      2      1          0          0.00       4.00        Ready List
  3      0      3          0          2.00       2.00        Running List
  4      1      1          0          0.00       3.00        Ready List
  4      3      1          0          0.00       3.00        Ready List
  4      2      1          0          0.00       4.00        Ready List
  4      4      2          0          1.00       2.50        Running List
  5      1      1          0          0.00       3.00        Ready List
  5      3      1          0          0.00       3.00        Ready List
  5      2      1          0          0.00       4.00        Ready List
  5      4      2          0          2.00       2.50        Running List
  6      1      1          0          0.00       3.00        Ready List
  6      3      1          0          0.00       3.00        Ready List
  6      2      1          0          0.00       4.00        Ready List
  6      4      3          0          3.00       2.50        Running List
  7      3      1          0          0.00       3.00        Ready List
  7      2      1          0          0.00       4.00        Ready List
  7      1      2          0          1.00       3.00        Running List
  8      3      1          0          0.00       3.00        Ready List
  8      2      1          0          0.00       4.00        Ready List
  8      1      2          0          2.00       3.00        Running List
  9      3      1          0          0.00       3.00        Ready List
  9      2      1          0          0.00       4.00        Ready List
  9      1      3          0          3.00       3.00        Running List
  10      2      1          0          0.00       4.00        Ready List
  10      3      2          0          1.00       3.00        Running List
  11      2      1          0          0.00       4.00        Ready List
  11      3      2          0          2.00       3.00        Running List
  12      2      1          0          0.00       4.00        Ready List
  12      3      3          0          3.00       3.00        Running List
  13      2      2          0          1.00       4.00        Running List
  14      2      2          0          2.00       4.00        Running List
  15      2      2          0          3.00       4.00        Running List
  16      2      3          0          4.00       4.00        Running List
