time    pid   status    niceness    cputime    proctime      Group List
  0      1      1          2          0.00       2.00        Ready List
  0      2      1          2          0.00       3.30        Ready List
  0      3      1          4          0.00       3.30        Ready List
  0      4      1          5          0.00       3.00        Ready List
  0      5      1          1          0.00       4.00        Ready List
  0      6      1          4          0.00       3.00        Ready List
  0      7      1          3          0.00       2.50        Ready List
  0      8      1          3          0.00       3.30        Ready List
  0      9      1          1          0.00       1.50        Ready List
  0      0      2          5          1.00       3.30        Running List
  1      1      1          2          0.00       2.00        Ready List
  1      2      1          2          0.00       3.30        Ready List
  1      3      1          4          0.00       3.30        Ready List
  1      4      1          5          0.00       3.00        Ready List
  1      5      1          1          0.00       4.00        Ready List
  1      6      1          4          0.00       3.00        Ready List
  1      7      1          3          0.00       2.50        Ready List
  1      8      1          3          0.00       3.30        Ready List
  1      9      1          1          0.00       1.50        Ready List
  1      0      2          5          2.00       3.30        Running List
  2      1      1          2          0.00       2.00        Ready List
  2      2      1          2          0.00       3.30        Ready List
  2      3      1          4          0.00       3.30        Ready List
  2      4      1          5          0.00       3.00        Ready List
  2      5      1          1          0.00       4.00        Ready List
  2      6      1          4          0.00       3.00        Ready List
  2      7      1          3          0.00       2.50        Ready List
  2      8      1          3          0.00       3.30        Ready List
  2      9      1          1          0.00       1.50        Ready List
  2      0      2          5          3.00       3.30        Running List
  3      1      1          2          0.00       2.00        Ready List
  3      2      1          2          0.00       3.30        Ready List
  3      3      1          4          0.00       3.30        Ready List
  3      4      1          5          0.00       3.00        Ready List
  3      5      1          1          0.00       4.00        Ready List
  3      6      1          4          0.00       3.00        Ready List
  3      7      1          3          0.00       2.50        Ready List
  3      8      1          3          0.00       3.30        Ready List
  3      9      1          1          0.00       1.50        Ready List
  3      0      3          5          4.00       3.30        Running List
  4      2      1          2          0.00       3.30        Ready List
  4      3      1          4          0.00       3.30        Ready List
  4      4      1          5          0.00       3.00        Ready List
  4      5      1          1          0.00       4.00        Ready List
  4      6      1          4          0.00       3.00        Ready List
  4      7      1          3          0.00       2.50        Ready List
  4      8      1          3          0.00       3.30        Ready List
  4      9      1          1          0.00       1.50        Ready List
  4      1      2          2          1.00       2.00        Running List
  5      2      1          2          0.00       3.30        Ready List
  5      3      1          4          0.00       3.30        Ready List
  5      4      1          5          0.00       3.00        Ready List
  5      5      1          1          0.00       4.00        Ready List
  5      6      1          4          0.00       3.00        Ready List
  5      7      1          3          0.00       2.50        Ready List
  5      8      1          3          0.00       3.30        Ready List
  5      9      1          1          0.00       1.50        Ready List
  5      1      3          2          2.00       2.00        Running List
  6      3      1          4          0.00       3.30        Ready List
  6      4      1          5          0.00       3.00        Ready List
  6      5      1          1          0.00       4.00        Ready List
  6      6      1          4          0.00       3.00        Ready List
  6      7      1          3          0.00       2.50        Ready List
  6      8      1          3          0.00       3.30        Ready List
  6      9      1          1          0.00       1.50        Ready List
  6      2      2          2          1.00       3.30        Running List
  7      3      1          4          0.00       3.30        Ready List
  7      4      1          5          0.00       3.00        Ready List
  7      5      1          1          0.00       4.00        Ready List
  7      6      1          4          0.00       3.00        Ready List
  7      7      1          3          0.00       2.50        Ready List
  7      8      1          3          0.00       3.30        Ready List
  7      9      1          1          0.00       1.50        Ready List
  7      2      2          2          2.00       3.30        Running List
  8      3      1          4          0.00       3.30        Ready List
  8      4      1          5          0.00       3.00        Ready List
  8      5      1          1          0.00       4.00        Ready List
  8      6      1          4          0.00       3.00        Ready List
  8      7      1          3          0.00       2.50        Ready List
  8      8      1          3          0.00       3.30        Ready List
  8      9      1          1          0.00       1.50        Ready List
  8      2      2          2          3.00       3.30        Running List
  9      3      1          4          0.00       3.30        Ready List
  9      4      1          5          0.00       3.00        Ready List
  9      5      1          1          0.00       4.00        Ready List
  9      6      1          4          0.00       3.00        Ready List
  9      7      1          3          0.00       2.50        Ready List
  9      8      1          3          0.00       3.30        Ready List
  9      9      1          1          0.00       1.50        Ready List
  9      2      3          2          4.00       3.30        Running List
  10      4      1          5          0.00       3.00        Ready List
  10      5      1          1          0.00       4.00        Ready List
  10      6      1          4          0.00       3.00        Ready List
  10      7      1          3          0.00       2.50        Ready List
  10      8      1          3          0.00       3.30        Ready List
  10      9      1          1          0.00       1.50        Ready List
  10      3      2          4          1.00       3.30        Running List
  11      4      1          5          0.00       3.00        Ready List
  11      5      1          1          0.00       4.00        Ready List
  11      6      1          4          0.00       3.00        Ready List
  11      7      1          3          0.00       2.50        Ready List
  11      8      1          3          0.00       3.30        Ready List
  11      9      1          1          0.00       1.50        Ready List
  11      3      2          4          2.00       3.30        Running List
  12      4      1          5          0.00       3.00        Ready List
  12      5      1          1          0.00       4.00        Ready List
  12      6      1          4          0.00       3.00        Ready List
  12      7      1          3          0.00       2.50        Ready List
  12      8      1          3          0.00       3.30        Ready List
  12      9      1          1          0.00       1.50        Ready List
  12      3      2          4          3.00       3.30        Running List
  13      4      1          5          0.00       3.00        Ready List
  13      5      1          1          0.00       4.00        Ready List
  13      6      1          4          0.00       3.00        Ready List
  13      7      1          3          0.00       2.50        Ready List
  13      8      1          3          0.00       3.30        Ready List
  13      9      1          1          0.00       1.50        Ready List
  13      3      3          4          4.00       3.30        Running List
  14      5      1          1          0.00       4.00        Ready List
  14      6      1          4          0.00       3.00        Ready List
  14      7      1          3          0.00       2.50        Ready List
  14      8      1          3          0.00       3.30        Ready List
  14      9      1          1          0.00       1.50        Ready List
  14      4      2          5          1.00       3.00        Running List
  15      5      1          1          0.00       4.00        Ready List
  15      6      1          4          0.00       3.00        Ready List
  15      7      1          3          0.00       2.50        Ready List
  15      8      1          3          0.00       3.30        Ready List
  15      9      1          1          0.00       1.50        Ready List
  15      4      2          5          2.00       3.00        Running List
  16      5      1          1          0.00       4.00        Ready List
  16      6      1          4          0.00       3.00        Ready List
  16      7      1          3          0.00       2.50        Ready List
  16      8      1          3          0.00       3.30        Ready List
  16      9      1          1          0.00       1.50        Ready List
  16      4      3          5          3.00       3.00        Running List
  17      6      1          4          0.00       3.00        Ready List
  17      7      1          3          0.00       2.50        Ready List
  17      8      1          3          0.00       3.30        Ready List
  17      9      1          1          0.00       1.50        Ready List
  17      5      2          1          1.00       4.00        Running List
  18      6      1          4          0.00       3.00        Ready List
  18      7      1          3          0.00       2.50        Ready List
  18      8      1          3          0.00       3.30        Ready List
  18      9      1          1          0.00       1.50        Ready List
  18      5      2          1          2.00       4.00        Running List
  19      6      1          4          0.00       3.00        Ready List
  19      7      1          3          0.00       2.50        Ready List
  19      8      1          3          0.00       3.30        Ready List
  19      9      1          1          0.00       1.50        Ready List
  19      5      2          1          3.00       4.00        Running List
  20      6      1          4          0.00       3.00        Ready List
  20      7      1          3          0.00       2.50        Ready List
  20      8      1          3          0.00       3.30        Ready List
  20      9      1          1          0.00       1.50        Ready List
  20      5      3          1          4.00       4.00        Running List
  21      7      1          3          0.00       2.50        Ready List
  21      8      1          3          0.00       3.30        Ready List
  21      9      1          1          0.00       1.50        Ready List
  21      6      2          4          1.00       3.00        Running List
  22      7      1          3          0.00       2.50        Ready List
  22      8      1          3          0.00       3.30        Ready List
  22      9      1          1          0.00       1.50        Ready List
  22      6      2          4          2.00       3.00        Running List
  23      7      1          3          0.00       2.50        Ready List
  23      8      1          3          0.00       3.30        Ready List
  23      9      1          1          0.00       1.50        Ready List
  23      6      3          4          3.00       3.00        Running List
  24      8      1          3          0.00       3.30        Ready List
  24      9      1          1          0.00       1.50        Ready List
  24      7      2          3          1.00       2.50        Running List
  25      8      1          3          0.00       3.30        Ready List
  25      9      1          1          0.00       1.50        Ready List
  25      7      2          3          2.00       2.50        Running List
  26      8      1          3          0.00       3.30        Ready List
  26      9      1          1          0.00       1.50        Ready List
  26      7      3          3          3.00       2.50        Running List
  27      9      1          1          0.00       1.50        Ready List
  27      8      2          3          1.00       3.30        Running List
  28      9      1          1          0.00       1.50        Ready List
  28      8      2          3          2.00       3.30        Running List
  29      9      1          1          0.00       1.50        Ready List
  29      8      2          3          3.00       3.30        Running List
  30      9      1          1          0.00       1.50        Ready List
  30      8      3          3          4.00       3.30        Running List
  31      9      2          1          1.00       1.50        Running List
  32      9      3          1          2.00       1.50        Running List
